step,time,holdings,vpin
0,0.0,100000.0,0.09630990563640926
1,0.05,92284.01160641732,0.12032782898810492
2,0.1,75537.15288816892,0.11347644626505353
3,0.15000000000000002,61821.865040088844,0.10374323736217303
4,0.2,50587.7054584194,0.10531978185710272
5,0.25,41383.807918575214,0.09777423404380664
6,0.30000000000000004,33840.78773226771,0.12344222043822742
7,0.35000000000000003,27655.917044453687,0.09470222065191322
8,0.4,25027.499809521752,0.08331826204301787
9,0.45,22524.272210428735,0.0834474472532198
10,0.5,20133.712894505068,0.06580624305568844
11,0.55,17843.86408520538,0.10394644666541827
12,0.6000000000000001,14407.478239344367,0.0877079260005678
13,0.65,12452.796611561667,0.07996678777102732
14,0.7000000000000001,10560.404908255738,0.10554005461433212
15,0.75,8221.873642201472,0.0636275960593417
16,0.8,6528.68350987335,0.05438614451663116
17,0.8500000000000001,4868.150395518616,0.08336687011884068
18,0.9,3231.968174375843,0.06778542155658157
19,0.9500000000000001,1611.9525268769596,0.05754562745065575
20,1.0,0.0,0.07626369070700995
